Tipo_Noticia,Texto,Classificação,Percentual_Negativa,Percentual_Positiva,Percentual_Neutra,Data_Cadastro
Queimadas,focos de incendio atingem unidades de conservacao na regiao norte,Negativa,85.0,6.2,8.8,2025-05-06 00:00:00
Políticas Públicas,congresso aprova projeto de lei que amplia areas de preservacao,Positiva,12.5,70.0,17.5,2025-05-06 00:00:00
Tecnologia Ambiental,pesquisa desenvolve sistema de irrigacao que economiza ate 40 por cento de agua,Positiva,11.0,74.5,14.5,2025-05-06 00:00:00
Desmatamento,avanco da agropecuaria impulsiona perdas florestais no cerrado,Negativa,78.3,10.0,11.7,2025-05-06 00:00:00
Poluição,nivel de poluentes em rios apresenta estabilidade segundo novo estudo,Neutra,18.0,17.5,64.5,2025-05-06 00:00:00
Mudanças Climáticas,aquecimento global acelera degelo em regioes polares,Negativa,81.0,8.0,11.0,2025-05-06 00:00:00
Restauração Ecológica,parceria entre ongs e governo recupera zona de mata ciliar,Positiva,10.8,73.2,16.0,2025-05-06 00:00:00
Outros,pesquisa revela que maioria da populacao considera meio ambiente prioridade,Neutra,14.0,18.0,68.0,2025-05-06 00:00:00
Conservação,planos de manejo garantem equilibrio em parques nacionais,Neutra,16.0,20.0,64.0,2025-05-06 00:00:00
Biodiversidade,cientistas identificam nova especie de peixe em rio amazonico,Positiva,6.5,82.0,11.5,2025-05-06 00:00:00
Políticas Públicas,falta de fiscalizacao agrava crimes ambientais em reservas,Negativa,76.0,9.0,15.0,2025-05-06 00:00:00
Queimadas,zona rural registra aumento de queimadas nao controladas,Negativa,79.9,8.1,12.0,2025-05-06 00:00:00
Tecnologia Ambiental,sistema inteligente controla consumo energetico em edificacoes,Neutra,15.0,22.0,63.0,2025-05-06 00:00:00
Mudanças Climáticas,comunidades costeiras se adaptam a elevacao do nivel do mar,Neutra,17.5,19.0,63.5,2025-05-06 00:00:00
Restauração Ecológica,reflorestamento urbano melhora qualidade do ar em cidade do interior,Positiva,8.9,75.0,16.1,2025-05-06 00:00:00
Biodiversidade,extincao local de especie de ave afeta cadeia alimentar da floresta,Negativa,72.6,13.4,14.0,2025-05-06 00:00:00
Poluição,implantacao de ecopontos reduz acumulo de residuos solidos,Neutra,13.5,23.0,63.5,2025-05-06 00:00:00
Políticas Públicas,medidas ambientais sao debatidas em forum global de sustentabilidade,Neutra,12.0,19.0,69.0,2025-05-06 00:00:00
Outros,professores usam jogos digitais para ensinar educacao ambiental,Positiva,9.0,74.0,17.0,2025-05-06 00:00:00
Desmatamento,desmate ilegal avanca sobre areas de preservacao permanente,Negativa,80.5,7.5,12.0,2025-05-06 00:00:00
Conservação,projetos de protecao marinha mantem biodiversidade em equilibrio,Neutra,13.0,24.0,63.0,2025-05-06 00:00:00
Queimadas,fumaca de queimadas prejudica qualidade do ar em capitais do centro oeste,Negativa,83.3,6.0,10.7,2025-05-06 00:00:00
Tecnologia Ambiental,equipe nacional lanca dispositivo que converte umidade do ar em agua potavel,Positiva,10.5,77.8,11.7,2025-05-06 00:00:00
Desmatamento,investigacoes revelam aumento de desmate em regioes protegidas da amazonia,Negativa,84.0,7.0,9.0,2025-05-06 00:00:00
Conservação,reserva natural registra nascimento de especies ameacadas de extincao,Positiva,8.0,79.0,13.0,2025-05-06 00:00:00
Mudanças Climáticas,aumento do nivel do mar ameaca comunidades costeiras no nordeste,Negativa,77.2,11.0,11.8,2025-05-06 00:00:00
Poluição,relatorio aponta que emissoes de gases industriais continuam altas,Negativa,73.5,12.0,14.5,2025-05-06 00:00:00
Restauração Ecológica,grupo comunitario recupera nascente com apoio de projeto ambiental,Positiva,9.7,76.2,14.1,2025-05-06 00:00:00
Biodiversidade,especie rara de orquidea reaparece apos duas decadas de desaparecimento,Positiva,6.2,81.6,12.2,2025-05-06 00:00:00
Outros,estudo mostra que consumo consciente cresce entre consumidores jovens,Neutra,13.0,19.5,67.5,2025-05-06 00:00:00
Queimadas,analises indicam alta nos focos de fogo em regioes de mata seca,Negativa,80.1,9.0,10.9,2025-05-06 00:00:00
Políticas Públicas,nova lei promete incentivar energias renovaveis em municipios pequenos,Positiva,11.8,73.5,14.7,2025-05-06 00:00:00
Tecnologia Ambiental,iniciativa instala sensores para monitorar qualidade do ar em tempo real,Positiva,10.0,75.4,14.6,2025-05-06 00:00:00
Desmatamento,relatorio internacional alerta para avanco rapido do desmatamento na fronteira agricola,Negativa,82.3,9.1,8.6,2025-05-06 00:00:00
Poluição,niveis de ruido urbano permanecem constantes segundo estudo nacional,Neutra,15.0,18.0,67.0,2025-05-06 00:00:00
Mudanças Climáticas,cientistas alertam para efeitos do clima extremo sobre a agricultura,Negativa,75.0,13.0,12.0,2025-05-06 00:00:00
Restauração Ecológica,replantio de arvores aumenta cobertura vegetal em regiao desmatada,Positiva,9.9,78.1,12.0,2025-05-06 00:00:00
Outros,populacao demonstra maior interesse em reciclagem em pesquisa recente,Neutra,12.5,21.5,66.0,2025-05-06 00:00:00
Conservação,parques nacionais registram aumento de visitantes conscientes,Positiva,10.1,74.2,15.7,2025-05-06 00:00:00
Biodiversidade,desaparecimento de insetos polinizadores preocupa agricultores,Negativa,70.0,15.0,15.0,2025-05-06 00:00:00
Políticas Públicas,corte de verbas para fiscalizacao ambiental gera protestos,Negativa,78.9,8.1,13.0,2025-05-06 00:00:00
Queimadas,registros de queimadas ilegais sobem mesmo com alertas de risco,Negativa,81.7,6.5,11.8,2025-05-06 00:00:00
Tecnologia Ambiental,universidade cria telhado verde com baixo custo para zonas urbanas,Positiva,8.5,79.5,12.0,2025-05-06 00:00:00
Mudanças Climáticas,governos debatem politicas climaticas em cupula global,Neutra,14.0,21.0,65.0,2025-05-06 00:00:00
Restauração Ecológica,iniciativas de reflorestamento urbano sao ampliadas em capitais,Positiva,10.3,76.7,13.0,2025-05-06 00:00:00
Biodiversidade,monitoramento aponta estabilidade em populacoes de animais silvestres,Neutra,17.0,20.0,63.0,2025-05-06 00:00:00
Poluição,cidades costeiras lidam com aumento de residuos solidos nas praias,Negativa,74.6,11.3,14.1,2025-05-06 00:00:00
Outros,cooperativas sustentaveis ganham destaque em feiras regionais,Positiva,9.3,74.8,15.9,2025-05-06 00:00:00
Conservação,preservacao de manguezais e tema de nova campanha educativa,Neutra,16.5,18.0,65.5,2025-05-06 00:00:00
Desmatamento,imagens de satelite mostram perda expressiva de vegetacao nativa,Negativa,83.1,7.2,9.7,2025-05-06 00:00:00
Queimadas,estado decreta emergencia ambiental devido ao aumento de queimadas,Negativa,85.0,5.0,10.0,2025-05-06 00:00:00
Políticas Públicas,municipios implementam politicas verdes com foco em educacao ambiental,Neutra,13.0,20.5,66.5,2025-05-06 00:00:00
Tecnologia Ambiental,novo sistema solar inteligente reduz em 40 o consumo de energia residencial,Positiva,8.4,80.2,11.4,2025-05-06 00:00:00
Poluição,industria textil e apontada como uma das maiores poluidoras de rios em estudo recente,Negativa,79.5,9.1,11.4,2025-05-06 00:00:00
Conservação,projeto comunitario protege corais ameacados no litoral brasileiro,Positiva,9.0,77.0,14.0,2025-05-06 00:00:00
Queimadas,relatorio mostra aumento de queimadas proximo a areas de preservacao permanente,Negativa,83.0,8.0,9.0,2025-05-06 00:00:00
Outros,estudo indica crescimento no uso de embalagens biodegradaveis no comercio,Neutra,15.0,18.5,66.5,2025-05-06 00:00:00
Mudanças Climáticas,temperaturas extremas afetam saude publica em capitais do sudeste,Negativa,74.2,11.8,14.0,2025-05-06 00:00:00
Restauração Ecológica,mutirao planta mais de mil mudas nativas em regiao degradada,Positiva,7.5,79.5,13.0,2025-05-06 00:00:00
Políticas Públicas,cidades pequenas recebem recursos para modernizar coleta seletiva,Positiva,10.0,74.0,16.0,2025-05-06 00:00:00
Desmatamento,area devastada equivale a mais de mil campos de futebol em apenas um mes,Negativa,86.0,6.5,7.5,2025-05-06 00:00:00
Biodiversidade,monitoramento indica estabilidade nas populacoes de aves em reserva nacional,Neutra,14.0,20.0,66.0,2025-05-06 00:00:00
Tecnologia Ambiental,startup cria sistema para reaproveitamento de agua da chuva em condominios,Positiva,9.2,75.6,15.2,2025-05-06 00:00:00
Poluição,poluicao luminosa afeta ciclos naturais de insetos noturnos segundo pesquisa,Negativa,72.4,13.3,14.3,2025-05-06 00:00:00
Restauração Ecológica,campanha de recuperacao florestal avanca com apoio de voluntarios,Positiva,11.1,77.0,11.9,2025-05-06 00:00:00
Outros,consumo de carne vegetal cresce nos principais centros urbanos,Neutra,13.3,22.5,64.2,2025-05-06 00:00:00
Conservação,espaco protegido reintroduz especies nativas extintas localmente,Positiva,10.5,78.8,10.7,2025-05-06 00:00:00
Queimadas,focos de incendio destroem grande area de cerrado no centro oeste,Negativa,82.5,8.2,9.3,2025-05-06 00:00:00
Mudanças Climáticas,alagamentos aumentam em regioes urbanas devido a chuvas intensas,Negativa,75.3,12.0,12.7,2025-05-06 00:00:00
Biodiversidade,nova especie de anfibio e descoberta em regiao de mata preservada,Positiva,8.7,81.0,10.3,2025-05-06 00:00:00
Políticas Públicas,governo estadual aprova incentivo fiscal para energia solar,Positiva,9.0,76.5,14.5,2025-05-06 00:00:00
Desmatamento,derrubada ilegal de floresta ocorre em terras indigenas sem fiscalizacao,Negativa,84.4,5.1,10.5,2025-05-06 00:00:00
Tecnologia Ambiental,empresa desenvolve tinta que reduz temperatura de superficies expostas ao sol,Positiva,7.8,80.1,12.1,2025-05-06 00:00:00
Outros,pesquisa revela que maioria dos brasileiros apoia causas ambientais,Neutra,12.0,19.0,69.0,2025-05-06 00:00:00
Poluição,contaminacao por metais pesados preocupa populacao de cidade do interior,Negativa,76.9,10.1,13.0,2025-05-06 00:00:00
Conservação,preservacao de rios urbanos e tema de projeto escolar em expansao,Neutra,13.2,17.0,69.8,2025-05-06 00:00:00
Restauração Ecológica,areas de mata ciliar sao restauradas com especies nativas,Positiva,10.2,77.3,12.5,2025-05-06 00:00:00
Mudanças Climáticas,fenomeno climatico severo afeta colheitas em diversas regioes do pais,Negativa,79.0,10.0,11.0,2025-05-06 00:00:00
Biodiversidade,populacoes de mamiferos silvestres mantem estabilidade em parque nacional,Neutra,14.5,19.5,66.0,2025-05-06 00:00:00
Queimadas,numero de focos de calor atinge maior nivel em cinco anos no pantanal,Negativa,85.0,7.0,8.0,2025-05-06 00:00:00
Políticas Públicas,plano municipal de arborizacao urbana e aprovado com apoio popular,Neutra,16.0,18.0,66.0,2025-05-06 00:00:00
Outros,empresas adotam metas sustentaveis em seus relatorios anuais,Neutra,13.0,20.0,67.0,2025-05-06 00:00:00
Tecnologia Ambiental,nova turbina eolica produz energia suficiente para 500 casas,Positiva,9.3,81.0,9.7,2025-05-06 00:00:00
Desmatamento,satelites detectam aumento de 28 na devastacao em floresta de mata atlantica,Negativa,85.1,7.0,7.9,2025-05-06 00:00:00
Conservação,area de protecao ambiental recebe reforco em equipe de vigilancia,Positiva,10.2,77.8,12.0,2025-05-06 00:00:00
Poluição,niveis de microplasticos aumentam em rios urbanos segundo novo relatorio,Negativa,82.6,9.1,8.3,2025-05-06 00:00:00
Outros,populacao adere a hortas urbanas em regioes metropolitanas,Neutra,12.3,18.4,69.3,2025-05-06 00:00:00
Queimadas,incendios criminosos destroem hectares de mata em parque nacional,Negativa,87.0,6.5,6.5,2025-05-06 00:00:00
Restauração Ecológica,projeto universitario promove reflorestamento de encostas degradadas,Positiva,8.7,79.3,12.0,2025-05-06 00:00:00
Mudanças Climáticas,derretimento de geleiras acelera elevacao do nivel do mar,Negativa,81.2,10.5,8.3,2025-05-06 00:00:00
Biodiversidade,estudo revela crescimento na populacao de peixes em lagoas restauradas,Positiva,11.1,75.0,13.9,2025-05-06 00:00:00
Políticas Públicas,camara aprova nova legislacao para controle de residuos toxicos,Positiva,9.0,78.2,12.8,2025-05-06 00:00:00
Tecnologia Ambiental,sensor inteligente monitora qualidade do ar em tempo real,Positiva,7.5,82.1,10.4,2025-05-06 00:00:00
Desmatamento,desmatamento ilegal cresce em regioes isoladas do norte do pais,Negativa,83.4,7.4,9.2,2025-05-06 00:00:00
Outros,consumo consciente de energia aumenta entre jovens brasileiros,Neutra,14.2,19.0,66.8,2025-05-06 00:00:00
Poluição,rios costeiros apresentam altos niveis de fosfato segundo pesquisa,Negativa,77.7,11.1,11.2,2025-05-06 00:00:00
Conservação,criacoes de reservas extrativistas promovem sustentabilidade em comunidades locais,Positiva,10.5,74.8,14.7,2025-05-06 00:00:00
Queimadas,focos de incendio aumentam riscos para fauna em unidade de conservacao,Negativa,84.5,8.5,7.0,2025-05-06 00:00:00
Restauração Ecológica,areas desmatadas ha decadas comecam a se regenerar naturalmente,Neutra,15.0,17.2,67.8,2025-05-06 00:00:00
Mudanças Climáticas,estudos apontam maior incidencia de furacoes em regioes tropicais,Negativa,79.6,10.2,10.2,2025-05-06 00:00:00
Biodiversidade,novas especies de orquideas sao catalogadas em regiao montanhosa,Positiva,8.9,80.3,10.8,2025-05-06 00:00:00
Políticas Públicas,programa nacional incentiva substituicao de combustiveis fosseis,Positiva,9.8,76.1,14.1,2025-05-06 00:00:00
Tecnologia Ambiental,plataforma digital permite rastrear impacto ambiental de produtos,Neutra,13.0,18.2,68.8,2025-05-06 00:00:00
Desmatamento,relatorio denuncia corte ilegal em terras protegidas por lei,Negativa,86.3,6.0,7.7,2025-05-06 00:00:00
Outros,pesquisa mostra que sustentabilidade influencia decisoes de compra,Neutra,15.3,20.1,64.6,2025-05-06 00:00:00
Poluição,emissao de gases industriais segue acima dos limites estabelecidos,Negativa,78.4,9.6,12.0,2025-05-06 00:00:00
Conservação,voluntarios realizam limpeza em praias com apoio de ongs locais,Positiva,10.0,79.0,11.0,2025-05-06 00:00:00
Queimadas,alertas de incendio aumentam em periodos de seca prolongada,Neutra,17.0,15.2,67.8,2025-05-06 00:00:00
Restauração Ecológica,campanha escolar promove plantio de mudas em zona urbana,Positiva,7.9,81.5,10.6,2025-05-06 00:00:00
Mudanças Climáticas,regioes costeiras sofrem com avancos do mar em areas urbanas,Negativa,80.5,9.2,10.3,2025-05-06 00:00:00
Biodiversidade,santuario natural registra nascimento de especie rara de felino,Positiva,9.2,82.0,8.8,2025-05-06 00:00:00
Políticas Públicas,municipio implanta coleta seletiva com separacao por tipo de residuo,Positiva,11.4,74.0,14.6,2025-05-06 00:00:00
Tecnologia Ambiental,equipamento nacional utiliza residuos agricolas para gerar energia limpa,Positiva,8.1,79.2,12.7,2025-05-06 00:00:00
Desmatamento,fiscalizacao reduzida contribui para aumento do desmatamento,Negativa,85.0,6.0,9.0,2025-05-06 00:00:00
Outros,habitos sustentaveis crescem entre consumidores de classe media,Neutra,12.8,19.7,67.5,2025-05-06 00:00:00
Poluição,chuvas acidas aumentam corrosao de monumentos historicos em centros urbanos,Negativa,76.0,10.0,14.0,2025-05-06 00:00:00
Conservação,regiao de cerrado ganha unidade de conservacao com apoio de entidades civis,Positiva,10.8,75.5,13.7,2025-05-06 00:00:00
Queimadas,vegetacao nativa sofre danos irreversiveis por queimadas descontroladas,Negativa,88.2,5.3,6.5,2025-05-06 00:00:00
Restauração Ecológica,ong promove restauracao ambiental em margens de rios poluidos,Positiva,9.3,78.9,11.8,2025-05-06 00:00:00
Mudanças Climáticas,temperaturas elevadas impactam diretamente a produtividade agricola,Negativa,82.5,9.0,8.5,2025-05-06 00:00:00
Biodiversidade,tecnologia auxilia na monitoracao de especies em extincao,Positiva,9.6,80.7,9.7,2025-05-06 00:00:00
Políticas Públicas,nova politica nacional incentiva agricultura de baixo carbono,Positiva,10.0,77.6,12.4,2025-05-06 00:00:00
Tecnologia Ambiental,startup brasileira transforma oleo de cozinha em combustivel,Positiva,8.5,79.0,12.5,2025-05-06 00:00:00
Desmatamento,desmatamento cresce em ritmo acelerado em regiao de fronteira agricola,Negativa,84.0,7.0,9.0,2025-05-06 00:00:00
Outros,aplicativo ajuda usuarios a reduzirem desperdicio de agua,Neutra,11.5,21.0,67.5,2025-05-06 00:00:00
Poluição,lixo plastico e encontrado em estomago de animais marinhos,Negativa,79.5,8.5,12.0,2025-05-06 00:00:00
Conservação,programa de educacao ambiental e expandido em escolas publicas,Positiva,9.7,77.3,13.0,2025-05-06 00:00:00
Queimadas,incendios ameacam biodiversidade em parque nacional na regiao norte,Negativa,86.6,6.2,7.2,2025-05-06 00:00:00
Restauração Ecológica,regiao degradada por mineracao recebe plano de restauracao ambiental,Positiva,10.1,76.8,13.1,2025-05-06 00:00:00
Mudanças Climáticas,ondas de calor aumentam risco de doencas respiratorias,Negativa,78.0,10.0,12.0,2025-05-06 00:00:00
Biodiversidade,area de protecao ambiental abriga grande diversidade de insetos nativos,Neutra,13.5,20.0,66.5,2025-05-06 00:00:00
Tecnologia Ambiental,empresa desenvolve tinta solar capaz de gerar energia em paredes,Positiva,9.1,80.0,10.9,2025-05-07 00:00:00
Desmatamento,relatorio mostra aumento de exploracao madeireira ilegal no sudeste,Negativa,85.6,6.3,8.1,2025-05-07 00:00:00
Conservação,projeto reintroduz especies nativas em areas degradadas,Positiva,10.5,78.1,11.4,2025-05-07 00:00:00
Poluição,poluicao luminosa interfere na migracao de aves noturnas,Negativa,76.8,11.5,11.7,2025-05-07 00:00:00
Outros,pesquisa indica que preocupacao ambiental cresce entre adolescentes,Neutra,14.0,18.0,68.0,2025-05-07 00:00:00
Queimadas,queimadas em zona rural afetam qualidade do ar em cidades vizinhas,Negativa,82.0,9.0,9.0,2025-05-07 00:00:00
Restauração Ecológica,mutirao comunitario planta mil mudas em area urbana,Positiva,8.7,81.0,10.3,2025-05-07 00:00:00
Mudanças Climáticas,temperaturas recordes causam perdas na producao de alimentos,Negativa,80.5,10.3,9.2,2025-05-07 00:00:00
Biodiversidade,biologos descobrem nova especie de sapo em regiao de floresta tropical,Positiva,9.4,79.6,11.0,2025-05-07 00:00:00
Políticas Públicas,governo amplia incentivos para energias renovaveis,Positiva,10.0,75.2,14.8,2025-05-07 00:00:00
Tecnologia Ambiental,engenheiros criam sistema que filtra ar usando energia solar,Positiva,7.8,83.0,9.2,2025-05-07 00:00:00
Desmatamento,desmatamento afeta bacias hidrograficas essenciais para abastecimento,Negativa,83.2,8.1,8.7,2025-05-07 00:00:00
Outros,industria cosmetica investe em produtos sustentaveis,Neutra,12.6,20.3,67.1,2025-05-07 00:00:00
Poluição,niveis de chumbo em solo urbano preocupam autoridades,Negativa,79.9,9.0,11.1,2025-05-07 00:00:00
Conservação,corredores ecologicos conectam habitats fragmentados,Positiva,9.9,76.7,13.4,2025-05-07 00:00:00
Queimadas,numero de queimadas aumenta em regiao centro oeste segundo dados,Negativa,84.0,7.0,9.0,2025-05-07 00:00:00
Restauração Ecológica,iniciativa privada recupera mata ciliar em regiao industrial,Positiva,9.1,77.8,13.1,2025-05-07 00:00:00
Mudanças Climáticas,clima instavel prejudica colheita e encarece alimentos,Negativa,81.0,8.7,10.3,2025-05-07 00:00:00
Biodiversidade,novos registros de oncas pintadas em area monitorada por drones,Positiva,10.3,78.5,11.2,2025-05-07 00:00:00
Políticas Públicas,cidades aderem a pacto global pelo clima,Positiva,11.0,73.6,15.4,2025-05-07 00:00:00
Tecnologia Ambiental,app permite monitoramento de consumo de energia em tempo real,Positiva,8.4,80.2,11.4,2025-05-07 00:00:00
Desmatamento,expansao agricola sem controle avanca sobre floresta nativa,Negativa,86.1,6.9,7.0,2025-05-07 00:00:00
Outros,pesquisa mostra que alimentos organicos ganham popularidade,Neutra,13.5,17.0,69.5,2025-05-07 00:00:00
Poluição,detritos toxicos sao encontrados em regioes de manguezal,Negativa,82.3,8.2,9.5,2025-05-07 00:00:00
Conservação,ong promove protecao de nascentes em regiao serrana,Positiva,9.6,76.9,13.5,2025-05-07 00:00:00
Queimadas,incendios prejudicam saude respiratoria de moradores em comunidades,Negativa,85.3,6.8,7.9,2025-05-07 00:00:00
Restauração Ecológica,areas degradadas por pecuaria sao alvo de reflorestamento,Positiva,10.0,77.5,12.5,2025-05-07 00:00:00
Mudanças Climáticas,calor extremo reduz produtividade de trabalhadores ao ar livre,Negativa,79.0,10.0,11.0,2025-05-07 00:00:00
Biodiversidade,cientistas usam inteligencia artificial para mapear biodiversidade,Positiva,8.9,81.3,9.8,2025-05-07 00:00:00
Políticas Públicas,estado implanta politica de lixo zero em escolas estaduais,Positiva,10.7,75.0,14.3,2025-05-07 00:00:00
Tecnologia Ambiental,novo sistema capta agua da umidade do ar em regioes secas,Positiva,9.2,77.4,13.4,2025-05-07 00:00:00
Desmatamento,territorios indigenas sofrem pressao por exploracao ilegal,Negativa,87.0,5.5,7.5,2025-05-07 00:00:00
Outros,estudantes desenvolvem projeto de reciclagem em escolas,Neutra,14.3,19.2,66.5,2025-05-07 00:00:00
Poluição,camadas de oleo sao vistas em rios apos vazamento industrial,Negativa,83.5,8.0,8.5,2025-05-07 00:00:00
Conservação,reserva ambiental recebe status internacional de protecao,Positiva,9.8,76.4,13.8,2025-05-07 00:00:00
Queimadas,areas atingidas por fogo enfrentam dificuldade de regeneracao,Negativa,84.7,7.6,7.7,2025-05-07 00:00:00
Restauração Ecológica,comunidade restaura brejo em regiao urbana,Positiva,8.8,78.6,12.6,2025-05-07 00:00:00
Mudanças Climáticas,relatorio aponta aumento no numero de dias com calor extremo,Negativa,78.6,10.4,11.0,2025-05-07 00:00:00
Biodiversidade,estudo revela comportamento inedito em especie de ave nativa,Neutra,13.0,21.0,66.0,2025-05-07 00:00:00
Políticas Públicas,governo estadual zera impostos para equipamentos solares,Positiva,9.0,79.3,11.7,2025-05-07 00:00:00
Tecnologia Ambiental,engenheiros desenvolvem concreto ecologico com residuos reciclaveis,Positiva,10.1,77.1,12.8,2025-05-07 00:00:00
Desmatamento,imagens de drone flagram corte seletivo em area protegida,Negativa,85.0,7.5,7.5,2025-05-07 00:00:00
Outros,atividades ao ar livre aumentam interesse por natureza entre jovens,Neutra,15.1,16.8,68.1,2025-05-07 00:00:00
Poluição,espuma toxica aparece em rio apos descarte irregular de industria,Negativa,82.0,7.0,11.0,2025-05-07 00:00:00
Conservação,iniciativas locais garantem manutencao de habitats aquaticos,Positiva,9.3,80.1,10.6,2025-05-07 00:00:00
Queimadas,queimadas reduzem visibilidade e causam acidentes em rodovias,Negativa,86.5,5.0,8.5,2025-05-07 00:00:00
Restauração Ecológica,manguezais comecam a se regenerar em area costeira,Positiva,10.2,75.5,14.3,2025-05-07 00:00:00
Mudanças Climáticas,zona urbana registra aumento de ilhas de calor,Negativa,80.2,8.8,11.0,2025-05-07 00:00:00
Biodiversidade,pesquisadores utilizam drones para contar especies marinhas,Neutra,12.5,18.5,69.0,2025-05-07 00:00:00
Tecnologia Ambiental,nova tecnologia permite que telhados residenciais gerem energia eolica com microturbinas integradas ao design arquitetonico das casas,Positiva,7.8,83.1,9.1,2025-05-07 00:00:00
Desmatamento,estudo revela que a expansao da agropecuaria continua sendo o principal vetor de perda de cobertura vegetal em areas de floresta amazonica,Negativa,87.4,6.2,6.4,2025-05-07 00:00:00
Conservação,programa de protecao a especies ameacadas reintroduz tartarugas marinhas em trecho restaurado de litoral nordestino,Positiva,10.6,78.9,10.5,2025-05-07 00:00:00
Poluição,pesquisa aponta que residuos plastico acumulados em fundos oceanicos representam ameaca crescente para biodiversidade marinha,Negativa,81.7,10.0,8.3,2025-05-07 00:00:00
Outros,relatorio anual do instituto nacional ambiental destaca aumento na participacao popular em campanhas de educacao ecologica,Neutra,14.8,20.1,65.1,2025-05-07 00:00:00
Queimadas,numero de focos de incendio triplica em comparacao ao mesmo periodo do ano passado segundo dados oficiais de monitoramento por satelite,Negativa,88.3,6.0,5.7,2025-05-07 00:00:00
Restauração Ecológica,projeto ambiental em parceria com agricultores familiares visa recuperar mata ciliar ao longo de bacias hidrograficas degradadas,Positiva,9.5,77.0,13.5,2025-05-07 00:00:00
Mudanças Climáticas,temperaturas elevadas causam seca prolongada afetando reservatorios de abastecimento em diversas capitais brasileiras,Negativa,82.6,9.3,8.1,2025-05-07 00:00:00
Biodiversidade,descoberta de novas especies de insetos na floresta atlantica reforca importancia da preservacao de pequenos fragmentos florestais,Positiva,9.2,79.6,11.2,2025-05-07 00:00:00
Políticas Públicas,municipios firmam acordo para integracao de sistemas de coleta seletiva em consorcio intermunicipal de gestao de residuos,Positiva,10.4,76.4,13.2,2025-05-07 00:00:00
Tecnologia Ambiental,cientistas desenvolvem sensor inteligente que monitora qualidade da agua em tempo real e envia alertas via aplicativo,Positiva,8.7,81.0,10.3,2025-05-07 00:00:00
Desmatamento,relatorios apontam que estradas ilegais abrem caminho para desmatamento e avancos sobre unidades de conservacao protegidas por lei,Negativa,86.1,7.0,6.9,2025-05-07 00:00:00
Outros,mercado de produtos sustentaveis cresce apesar da inflacao indicando mudanca no comportamento do consumidor urbano,Neutra,12.2,19.5,68.3,2025-05-07 00:00:00
Poluição,estudo detecta alta concentracao de microplasticos em amostras coletadas em lagos proximos a centros urbanos,Negativa,80.4,9.0,10.6,2025-05-07 00:00:00
Conservação,iniciativa privada cria fundo de investimento voltado exclusivamente para projetos de conservacao ambiental de longo prazo,Positiva,9.8,78.2,12.0,2025-05-07 00:00:00
Queimadas,poluicao resultante das queimadas provoca aumento no numero de internacoes hospitalares por problemas respiratorios,Negativa,85.9,6.7,7.4,2025-05-07 00:00:00
Restauração Ecológica,area de brejo urbano e recuperada com apoio de voluntarios e transformada em parque ecologico educativo,Positiva,10.1,75.6,14.3,2025-05-07 00:00:00
Mudanças Climáticas,variacoes climaticas comprometem a saude de plantacoes e aumentam a dependencia de irrigacao artificial em regioes semiaridas,Negativa,79.5,10.2,10.3,2025-05-07 00:00:00
Biodiversidade,pesquisadores desenvolvem banco de dados genetico de especies nativas como estrategia de preservacao em caso de extincao,Positiva,8.6,80.1,11.3,2025-05-07 00:00:00
Políticas Públicas,governo federal sanciona lei que obriga empresas a neutralizar suas emissoes de carbono em ate dez anos,Positiva,10.9,73.5,15.6,2025-05-07 00:00:00
Tecnologia Ambiental,novo dispositivo domestico permite transformar residuos organicos em fertilizante natural sem uso de energia eletrica,Positiva,9.1,78.7,12.2,2025-05-07 00:00:00
Desmatamento,imagens de satelite mostram avancos recentes do desmatamento em regioes consideradas prioritarias para preservacao,Negativa,87.0,5.5,7.5,2025-05-07 00:00:00
Outros,cresce o numero de escolas que incluem educacao ambiental de forma transversal em suas disciplinas,Neutra,13.0,18.0,69.0,2025-05-07 00:00:00
Poluição,monitoramento aponta aumento no nivel de ozonio em centros urbanos durante periodos de calor intenso,Negativa,81.1,9.7,9.2,2025-05-07 00:00:00
Conservação,ongs unem forcas para criar rede nacional de monitoramento da fauna silvestre em tempo real,Positiva,9.6,77.4,13.0,2025-05-07 00:00:00
Queimadas,relatorio aponta que a maioria das queimadas ocorre em propriedades privadas sem fiscalizacao regular,Negativa,84.2,7.1,8.7,2025-05-07 00:00:00
Restauração Ecológica,universidade cria viveiro com capacidade para produzir cem mil mudas por ano para projetos de reflorestamento,Positiva,8.5,82.0,9.5,2025-05-07 00:00:00
Mudanças Climáticas,aumento do nivel do mar coloca em risco comunidades litoraneas que vivem em areas de mangue,Negativa,82.4,8.3,9.3,2025-05-07 00:00:00
Biodiversidade,cientistas observam alteracoes no comportamento de animais devido a iluminacao artificial excessiva,Negativa,78.9,10.1,11.0,2025-05-07 00:00:00
Políticas Públicas,nova legislacao obriga condominios a instalarem sistema de coleta seletiva e compostagem organica,Positiva,11.0,74.1,14.9,2025-05-07 00:00:00
Tecnologia Ambiental,empresa lanca telha solar que gera energia e pode ser aplicada diretamente em qualquer tipo de cobertura residencial,Positiva,9.4,76.5,14.1,2025-05-07 00:00:00
Desmatamento,exploracao ilegal de madeira segue em alta mesmo em areas sob monitoramento permanente,Negativa,85.8,6.6,7.6,2025-05-07 00:00:00
